"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"5414","Pearadox","157","53.5","1698","1756","12.7","31.9","8.9","0.36","0.33","N/A","N/A","N/A","41-25-0","0.621"
"1732","Hilltopper Robotics","158","53.4","1697","1755","13.8","33.8","5.8","0.66","0.39","N/A","N/A","N/A","40-15-0","0.727"
"1241","THEORY6","159","53.4","1697","1755","13.4","32.2","7.8","0.33","0.41","N/A","N/A","N/A","49-28-0","0.636"
"179","Children of the Swamp","160","53.4","1697","1755","8.9","37.6","6.9","0.52","0.27","N/A","N/A","N/A","48-15-1","0.758"
"3310","Black Hawk Robotics","161","53.4","1697","1755","12.9","33.2","7.4","0.67","0.43","N/A","N/A","N/A","40-23-0","0.635"
"4003","TriSonics","162","53.4","1697","1755","14.5","34.7","4.2","0.63","0.14","N/A","N/A","N/A","33-22-1","0.598"
"325","Respawn Robotics","163","53.3","1696","1754","15.5","30.6","7.3","0.3","0.33","N/A","N/A","N/A","25-17-0","0.595"
"3255","SuperNURDs","164","53.1","1694","1753","15","31.7","6.5","0.45","0.4","N/A","N/A","N/A","19-7-0","0.731"
"6377","Howdy Bots","165","53.1","1693","1752","11.9","30.9","10.3","0.69","0.47","N/A","N/A","N/A","42-21-1","0.664"
"4415","EPIC Robotz","166","53","1693","1752","17.2","28.8","7","0.31","0.36","2023catt","Tidal Tumble","9","39-20-1","0.658"
"4920","Belle River Boltheads","167","52.9","1691","1750","15.1","31.3","6.5","0.4","0.31","N/A","N/A","N/A","34-23-1","0.595"
"88","TJ²","168","52.8","1691","1750","13.1","28.6","11.2","0.41","0.31","N/A","N/A","N/A","46-22-2","0.671"
"3205","Patriots","169","52.8","1690","1750","13.9","30.6","8.3","0.4","0.34","N/A","N/A","N/A","27-16-1","0.625"
"1745","The P-51 Mustangs","170","52.8","1690","1750","11.2","32.7","8.8","0.52","0.39","N/A","N/A","N/A","41-19-1","0.680"
"11","MORT","171","52.7","1688","1749","14.9","30.1","7.7","0.33","0.54","2023njbw","Raritan Valley Science & Technology Showcase","9","51-25-1","0.669"
"3647","Millennium Falcons","172","52.6","1688","1748","17.3","29.1","6.2","0.71","0.08","2023catt","Tidal Tumble","9","36-23-0","0.610"
"1986","Team Titanium","173","52.6","1687","1748","14.3","28.8","9.4","0.29","0.41","N/A","N/A","N/A","24-18-0","0.571"
"7769","The CREW","174","52.5","1686","1748","10.6","33","9","0.58","0.34","N/A","N/A","N/A","46-22-1","0.674"
"8085","MOJO","175","52.5","1686","1747","11","32.8","8.7","0.46","0.5","N/A","N/A","N/A","48-21-1","0.693"
"857","Superior Roboworks","176","52.4","1685","1747","12.8","32.2","7.5","0.24","0.33","N/A","N/A","N/A","47-16-1","0.742"
"5804","TORCH","177","52.4","1685","1747","15.2","28.2","9","0.51","0.36","2023varr","Rumble in the Roads","9","49-14-1","0.773"
"115","MVRT","178","52.4","1685","1747","13","31.9","7.6","0.29","0.42","2023cc","Chezy Champs","9","28-12-0","0.700"
"1781","Lindblom Electric Eagles","179","52.4","1684","1746","13.3","30.3","8.8","0.31","0.23","N/A","N/A","N/A","27-14-0","0.659"
"4795","Eastbots","180","52.4","1684","1746","16","28.7","7.7","0.49","0.48","2023varr","Rumble in the Roads","9","50-15-1","0.765"
"4206","Robo Vikes","181","52.3","1683","1745","12.5","30.8","8.9","0.8","0.46","N/A","N/A","N/A","50-27-1","0.647"
"1403","Team 1403 Cougar Robotics","182","52.2","1682","1745","10.9","33.3","8.1","0.58","0.23","N/A","N/A","N/A","41-19-1","0.680"
